								тумбачцы	ˈt̪umbat͡s̪ːɨ	
								перадачцы	pʲɛraˈd̪at͡s̪ːɨ	
								сошцы	ˈs̪ɔs̪t͡s̪ɨ	
								птушцы	ˈpt̪us̪t͡s̪ɨ	
								ежце	ˈjɛʂt͟͡sʲɛ	не
								дачцэ	d̪aˈt͡s̪ːɛ	
								таро́чся	t̪aˈrɔt͡ʂs̱ʲa	не
								папла́чся	paˈpɫat͡ʂs̱ʲa	не
								дошцы	ˈd̪ɔs̪t͡s̪ɨ	
								латышцы	ɫaˈt̪ɨs̪t͡s̪ɨ	
								дачцэ		
										
З'ява:	Пераход свісцячых у шыпячыя									
Падрабязнасці:	(ФБЛМ: с. 94-96, 327; ФСБМ: с. 117-120; FFJ: с. 244, 254; ФРС: с. 245)									
Што адбываецца:	першы гук мяняецца на адпаведны шыпячы									
Умовы:	гук 1	мяжа	гук 2		Прыклады:					
якія гукі	с з дз ц		шыпячы		увесь час	uˈʋʲɛʂ ˈt͡ʂas̪				
апостраф					вось што	β̞ɔʂːt̪ɔ				
прыстаўка+(прыстаўка ці корань)					вось сшытак	β̞ɔˈʂːɨt̪ak				
корань+корань					летась жыхары	ˈlʲɛt̪aʐːɨxaˈrɨ				
мяжа слова					Алесь Загорскі	aˈlʲɛz̪ːaˈɣɔrs̪kʲi	"з" - не шыпячы			
злучок					лес зіхацеў	ˈlʲɛẕʲːixaˈt͟͡sʲɛw	"з" - не шыпячы			
мяккасць - асіміляцыйная					улез жывы	uˈlʲɛʐːɨˈʋɨ				
мяккасць - пазначаная					Свіцязь шмат	ˈs̱ʲʋʲit͟͡sʲaˈʂːmat̪				
націск	-		-		дасць жаданае	ˈd̪aʐːaˈd̪an̪ajɛ				
					сядзь жа	ˈs̱ʲad͡ʐ ʐa				
					сядзь шалёны	ˈs̱ʲat͡ʂ ʂaˈlʲɔn̪ɨ				
					без джынсаў	bʲaʐ ˈd͡ʐɨn̪s̪aw				
					безжывёльны	bʲɛʐːɨˈβ̞ʲɔlʲn̪ɨ				
										
З'ява:	Пераход шыпячых у свісцячыя									
Падрабязнасці:	(ФБЛМ: с. 327; ФСБМ: с. 114-115; Янк: с. 13, 41-42; FFJ: с. 254)									
Што адбываецца:	першы гук мяняецца на адпаведны свісцячы									
Умовы:	гук 1	мяжа	гук 2		Прыклады:					
якія гукі	ш ж		с з		звышсакрэтны	z̪ʋɨs̪ːaˈkrɛt̪n̪ɨ				
апостраф					валашскі	ʋaˈɫas̪kʲi	не			
прыстаўка+(прыстаўка ці корань)					кембрыджскі	ˈkʲɛmbrɨt͡ʂs̪kʲi	"дж", а не "ж"			
корань+корань					дзяржстрах	d͟͡zʲarˈs̪ːt̪rax				
мяжа слова					капялюш сёння	kapʲaˈlʲuˈs̱ʲːɔnʲːa				
злучок					краш-сіндром	kras̱ʲːin̪ˈd̪rɔm				
мяккасць - асіміляцыйная					нарвежскі	n̪arˈʋʲɛs̪kʲi	спрашчаецца раней за пераход			
мяккасць - пазначаная					міжзорны	mʲiˈz̪ːɔrn̪ɨ				
націск	-		-		наш савецкі	ˈn̪as̪ːaˈʋʲɛt͡s̪kʲi				
					між зямлёй	mʲiẕʲːamˈlʲɔj				
					спяшаешся	s̱ʲpʲaˈʂajɛs̱ʲːa				
					адзенешся	aˈd͟͡zʲɛnʲɛs̱ʲːa				
					дождж сёння	ˈd̪ɔˈs̱ʲːɔnʲːa				
					кош сямейны	ˈkɔs̱ʲːaˈmʲɛjn̪ɨ				
					кош зямельны	ˈkɔẕʲːaˈmʲɛlʲn̪ɨ				
					кош цыраты	ˈkɔʂ t͡s̪ɨˈrat̪ɨ	"ц"			
					дзяржзабеспячэнне	d͟͡zʲarz̪ːabʲɛs̱ʲpʲaˈt͡ʂɛnʲːɛ				
					абважся	abˈʋas̱ʲːa				
					звышзадача	z̪ʋɨz̪ːaˈd̪at͡ʂa				
