# Спосабы словаўтварэння:
# 
# _START_DICTIONARY
# 0. утваральнае слова
# 1. суфіксальны ад
# 1n. суфіксальны ад
# 2. прыставачны ад
# 3. прыставачна-суфіксальны ад
# 4. постфіксальны ад
# 5. прыставачна-постфіксальны ад
# 6. прыставачна-нульсуфіксальны ад
# 7. нульсуфіксальны ад
# 8. складанне асноў са злучальнай марфемай ад
# 9. складанне асноў + суфіксальны ад
# 10. складанне асноў + нульсуфікс у канцы другой часткі ад
# 11. словаскладанне ад
# 12. складанаскарочанае ад
# 13. марфолага-сінтаксічны ад
# 14. лексіка-семантычны ад
# 15. суфіксальна-поствіксальны ад
# 16. прыставачна-суфіксальна-постфіксальны ад
# 17. асноваскладанне ад
# 18. форма слова
# _END_DICTIONARY

1.  абавязак	абавязаць -->1	//абавяз(=<обо>-//вяз//)//-ак-/0/
18.  аблічча	воблік -->1	//аблі%чч(=<аб>-//лік//-ьj)//-/а/
19.  аблога	аблажыць -->7	<аб(=аб)>-//ло%г(=лег)//-/а/
20.  абмінуць	мінуць -->2	<аб(=аб)>-[//мі(=мін)//-н]у%-ць
21.  абняць	0 -->	<аб(=аб)>-//ня%(=нім)//-ць
22.  абоз	0 -->	//або%з(=<аб>-//вез//)//-/0/
23.  абраз	0 -->	//абра%з(=рэз1)//-/0/
24.  абраза	абразіць -->7	//абра%з(=рэз1)//-:@:-/а/
25.  абраць	браць -->2	<а(=о)>-//бр(=бр)//-а%-ць
26.  абрус	0 -->	//абру%с(=брус)//-/0/
27.  абрыдлы	абрыднуць -->1	<а(=о)>-//бры%д(=брыд)//-л-/ы/
28.  абрыднуць	брыдкі -->3	<а(=о)>-//бры%д(=брыд)//-ну-ць
29.  абсалютны	абсалют -->1	//абсалю%т(=абсалют)//-н-/ы/
30.  абставіны	абставіць -->1	//абста%він(=стай)//-/ы/
31.  абудзіць	будзіць -->2	<а(=о)>-//будз(=буд1)//-і%-ць
32.  абурыцца	абурыць -->4	//абу%р(=бур)//-ы-ц-{ца}
33.  абурыцца	бурыць -->5	<а(=о)>-//бур(=бур)//-ы%-ц-{ца}
34.  абурэнне	абурыцца -->1	//абур(=бур)//-э%нн-/е/
35.  абутак	абуць -->1	<аб(=аб)>-//у%(=у)//-т-ак-/0/
36.  абхапіць	хапіць -->2	<аб(=аб)>-//хап(=хопл)//-і%-ць
37.  абцас	0 -->	//абца%с(=абцас)//-/0/
38.  абшар	0 -->	//абша%р(=абшар)//-/0/
39.  абысці	ісці -->2	<аб(=аб)>-//ыс(=ід)//-ці%
40.  абысціся	абысці -->4	<аб(=аб)>-//ыс(=ід)//-ці%-{ся}
41.  абыходзіцца	0 -->	<абы(=аб)>-//хо%дз(=ход)//-і%-ц-{ца}
42.  абыходзіць	хадзіць -->2	<абы(=аб)>-//хо%дз(=ход)//-і-ць
43.  абыякавасць	абыякавы -->1	<абы(=аб)>-//я%к(=як)//-ав-асць-/0/
44.  абыякавы	0 -->	<абы(=аб)>-//я%к(=як)//-ав-/ы/
45.  аб'явіць	0 -->	<аб'(=аб)>-//яв(=яв)//-і%-ць
46.  абярнуцца	абярнуць -->4	//абяр(=<об>-//вьрт//)//-ну%-ц-{ца}
47.  абяцанне	абяцаць -->1	//абяц(=абет)//-а%-нн-/е/
48.  абяцаць	0 -->	//абяц(=абет)//-а%-ць
49.  авалодаць	валодаць -->2	<а(=о)>-//вало%д(=валод)//-а-ць
50.  авечка	0 -->	//аве%ч(=//ав//-еч)//-к-/а/
51.  авёс	0 -->	//авёс(=авёс)//-/0/
52.  агарнуць	гарнуць -->2	<а(=о)>-//гар(=гарт)//-ну%-ць
53.  агарод	0 -->	//агаро%д(=<а>-//город//)//-/0/
54.  агароджа	агарадзіць -->7	<а(=о)>-//гаро%дж(=город)//-:@:-/а/
55.  агент	0 -->	//аге%нт(=агент)//-/0/
56.  агеньчык	агонь -->1	//аге%нь(=агнь)//-чык-/0/
57.  агіда	гідкі -->6	<а(=о)>-//гі%д(=гад1)//-:@:-/а/
58.  агідны	агіда -->1	<а(=о)>-//гі%д(=гад1)//-н-/ы/
59.  агледзецца	агледзець -->4	<а(=о)>-//гле%дз(=гляд)//-е-ц-{ца}
60.  агледзець	глядзець -->2	<а(=о)>-//гле%дз(=гляд)//-е-ць
61.  агляд	аглядаць -->7	<а(=о)>-//гля%д(=гляд)//-:@:-/0/
62.  аглядацца	аглядаць -->4	<а(=о)>-//гляд(=гляд)//-а%-ц-{ца}
63.  аглядаць	глядзець -->2	<а(=о)>-//гляд(=гляд)//-а%-ць
64.  агонь	0 -->	//аго%нь(=агнь)//-/0/
65.  агульны	0 -->	//агу%ль(=огул)//-н-/ы/
66.  адабраць	браць -->2	<ада(=от)>-//бр(=бр)//-а%-ць
67.  адабраць	браць -->2	<а(=о)>-//дабр(=добр)//-а%-ць
68.  адагнаць	гнаць -->2	<ада(=от)>-//гн(=гн)//-а%-ць
69.  адазвацца	адазваць -->4	<ада(=от)>-//зв(=зв)//-а%-ц-{ца}
70.  адарвацца	адарваць -->4	<ада(=от)>-//рв(=рв)//-а%-ц-{ца}
71.  адарваць	рваць -->2	<ада(=от)>-//рв(=рв)//-а%-ць
72.  адбівацца	адбіваць -->4	<ад(=от)>-//бі(=бі)//-ва%-ц-{ца}
73.  адбіваць	адбіць -->1	<ад(=от)>-//бі(=бі)//-ва%-ць
74.  адбіраць	адабраць -->1n	<ад(=от)>-//бір(=бр)//-а%-ць
75.  адбітак	адбіць -->1	//адбі%(=<ад>-//бі//)//-так-/0/
76.  адбіцца	адбіць -->4	<ад(=от)>-//бі%(=бі)//-ц-{ца}
77.  адбіцца	адбіць -->4	//адбі%(=<ад>-//бі//)//-ц-{ца}
78.  адбіць	біць -->2	<ад(=от)>-//бі%(=бі)//-ць
79.  адбіць	біць -->2	//адбі%(=<ад>-//бі//)//-ць
80.  адбыцца	быць -->5	<ад(=от)>-//бы%(=бы)//-ц-{ца}
81.  адвага	0 -->	//адва%г(=ваг)//-/а/
82.  адважвацца	адважыцца -->1	//адва%ж(=<ад>-//ваг//)//-ва-ц-{ца}
83.  адважвацца	адважваць -->4	<ад(=от)>-//ва%ж(=ваг)//-ва-ц-{ца}
84.  адважны	адвага -->1	//адва%ж(=<ад>-//ваг//)//-н-/ы/
85.  адваротны	адварочваць -->1	<ад(=от)>-//варо%т(=вьрт)//-н-/ы/
86.  адвесці	весці -->2	<ад(=от)>-//ве%с(=вед)//-ці
87.  адвечны	век -->3	<ад(=от)>-//ве%ч(=век)//-н-/ы/
88.  адводзіць	адвесці -->1n	<ад(=от)>-//во%дз(=вед)//-і-ць
89.  адвярнуцца	адвярнуць -->4	<ад(=от)>-//вяр(=вьрт)//-ну%-ц-{ца}
90.  адганяць	адагнаць -->1n	<ад(=от)>-//ган(=гн)//-я%-ць
91.  адгукнуцца	гук -->16	<ад(=от)>-//гук(=гук)//-ну%-ц-{ца}
92.  аддавацца	аддаваць -->4	<ад(=от)>-//да(=да)//-ва%-ц-{ца}
93.  аддаваць	аддаць -->1	<ад(=от)>-//да(=да)//-ва%-ць
94.  аддаліць	далёкі -->3	<ад(=от)>-//дал(=даль)//-і%-ць
95.  аддаляцца	аддаляць -->4	<ад(=от)>-//дал(=даль)//-я%-ц-{ца}
96.  аддацца	аддаць -->4	<ад(=от)>-//да%(=да)//-ц-{ца}
97.  аддаць	даць -->2	<ад(=от)>-//да%(=да)//-ць
98.  аддзел	аддзяліць -->7	<ад(=от)>-//дзе%л(=дзел)//-:@:-/0/
99.  аддзяленне	аддзяліць -->1	<ад(=от)>-//дзял(=дзел)//-е%нн-/е/
100.  ад'езд	ад'язджаць -->7	<ад'(=от)>-//езд(=ет)//-:@:-/0/
101.  ад'ехаць	ехаць -->2	<ад'(=от)>-//е%х(=ет)//-а-ць
102.  адзежа	адзець -->1	<а(=о)>-//дзе%(=дзе)//-ж-/а/
103.  адзенне	адзець -->1	<а(=о)>-//дзе%(=дзе)//-нн-/е/
104.  адзін	0 -->	//адзі%н(=адзін)//-/0/
105.  адзінокі	адзін -->1	//адзін(=адзін)//-о%к-/і/
106.  адзінота	адзін -->1	//адзін(=адзін)//-о%т-/а/
107.  адзіны	адзін -->7	//адзі%н(=адзін)//-:@:-/ы/
108.  адзнака	адзначыць -->7	<ад(=от)>-//зна%к(=зна)//-:@:-/а/
109.  адзначаць	адзначыць -->1n	<ад(=от)>-//знач(=зна)//-а%-ць
110.  адзначыць	0 -->	<ад(=от)>-//зна%ч(=зна)//-ы-ць
111.  адказ	адказаць -->7	<ад(=от)>-//ка%з(=каз)//-:@:-/0/
112.  адказаць	казаць -->2	<ад(=от)>-//каз(=каз)//-а%-ць
113.  адказваць	адказаць -->1	<ад(=от)>-//ка%з(=каз)//-ва-ць
114.  адказнасць	адказны -->1	//адка%з(=каз)//-н-асць-/0/
115.  адказны	адказваць -->1	//адка%з(=каз)//-н-/ы/
116.  адкінуць	кінуць -->2	<ад(=от)>-//кі(=кідн)//-ну-ць
117.  адкрываць	адкрыць -->1	<ад(=от)>-//кры(=кры)//-ва%-ць
118.  адкрыцца	адкрыць -->4	<ад(=от)>-//кры%(=кры)//-ц-{ца}
119.  адкрыццё	адкрыць -->1	<ад(=от)>-//кры(=кры)//-цц-/ё/
120.  адкрыць	крыць -->2	<ад(=от)>-//кры%(=кры)//-ць
121.  адлегласць	адлеглы -->1	<ад(=от)>-//ле%г(=лег)//-л-асць-/0/
122.  адмаўляцца	адмаўляць -->4	//адмаўл(=мов)//-я%-ц-{ца}
123.  адмовіцца	адмовіць -->4	//адмо%в(=мов)//-і-ц-{ца}
124.  адмовіць	0 -->	//адмо%в(=мов)//-і-ць
125.  адмоўны	адмаўляць -->1	//адмо%ў(=мов)//-н-/ы/
126.  адмысловы	0 -->	//адмысло%в(=мысл)//-/ы/
127.  аднавіць	новы -->3	<ад(=от)>-//нав(=нов)//-і%-ць
128.  адначасна	адначасны -->1	//адн(=адзін)//-|а|-//ча%с(=час)//-н-а
129.  адначасны	адзін + час -->9	//адн(=адзін)//-|а|-//ча%с(=час)//-н-/ы/
130.  адначасовы	адзін + час -->9	//адн(=адзін)//-|а|-//час(=час)//-о%в-/ы/
131.  аднойчы	адзін -->1	//адн(=адзін)//-о%йчы
132.  аднолькавы	0 -->	//адн(=адзін)//-о%лькав-/ы/
133.  адносіны	адносіцца -->1	//адно%с(=нос)//-ін-/ы/
134.  адносіцца	адносіць -->4	<ад(=от)>-//но%с(=нос)//-і-ц-{ца}
135.  адносіцца	адносіць -->4	//адно%с(=нос)//-і-ц-{ца}
136.  адносны	0 -->	//адно%с(=нос)//-н-/ы/
137.  адняць	0 -->	<ад(=от)>-//ня%(=нім)//-ць
138.  адолець	0 -->	<а(=о)>-//до%л(=доль)//-е-ць
139.  адпаведны	адпавядаць -->1	//адпаве%д(=вед1)//-н-/ы/
140.  адпавядаць	0 -->	//адпавяд(=вед1)//-а%-ць
141.  адпачываць	адпачыць -->1n	<ад(=от)>-//пач(=пач)//-ыва%-ць
142.  адпачынак	адпачываць -->1	<ад(=от)>-//пач(=пач)//-ы%нак-/0/
143.  адпачыць	0 -->	<ад(=от)>-//пач(=пач)//-ы%-ць
144.  адпомсціць	помсціць -->2	<ад(=от)>-//по%мсц(=месць)//-і-ць
145.  адправіцца	адправіць -->4	<ад(=от)>-//пра%в(=прав)//-і-ц-{ца}
146.  адправіць	0 -->	<ад(=от)>-//пра%в(=прав)//-і-ць
147.  адпускаць	адпусціць -->1n	<ад(=от)>-//пуск(=пуск)//-а%-ць
148.  адпусціць	пусціць -->2	<ад(=от)>-//пусц(=пуск)//-і%-ць
149.  адразу	раз -->3	<ад(=от)>-//ра%з(=рэз)//-у
150.  адрас	0 -->	//а%драс(=адрас)//-/0/
151.  адрываць	адарваць -->1n	<ад(=от)>-//рыв(=рв)//-а%-ць
152.  адрываць	адрыць -->1n	<ад(=от)>-//ры(=ры)//-ва%-ць
153.  адрэз	адрэзаць -->7	<ад(=от)>-//рэ%з(=рэз)//-:@:-/0/
154.  адрэзаць	рэзаць -->2	<ад(=от)>-//рэ%з(=рэз)//-а-ць
155.  адскочыць	скочыць -->2	<ад(=от)>-//ско%ч(=скок)//-ы-ць
156.  адставаць	адстаць -->1n	//адста(=стай)//-ва%-ць
157.  адстаць	0 -->	//адста%(=стай)//-ць
158.  адступаць	адступіць -->1n	<ад(=от)>-//ступ(=ступ)//-а%-ць
159.  адступіцца	адступіць -->4	<ад(=от)>-//ступ(=ступ)//-і%-ц-{ца}
160.  адступіць	ступіць -->2	<ад(=от)>-//ступ(=ступ)//-і%-ць
161.  адсутнасць	адсутнічаць -->1	<ад(=от)>-//су%тн(=суць)//-асць-/0/
162.  адценне	адцяніць -->1	<ад(=от)>-//це%нн(=цемн)//-/е/
163.  адцягнуць	цягнуць -->2	<ад(=от)>-//цяг(=цяг)//-ну%-ць
164.  адчай	адчаяцца -->7	//адча%й(=чай)//-:@:-/0/
165.  адчайны	адчаяцца -->1	//адча%й(=чай)//-н-/ы/
166.  адчапіцца	адчапіць -->4	<ад(=от)>-//чап(=чэпл)//-і%-ц-{ца}
167.  адчуванне	адчуваць -->1	<ад(=от)>-//чу(=чу)//-ва%-нн-/е/
168.  адчувацца	адчуваць -->4	<ад(=от)>-//чу(=чу)//-ва%-ц-{ца}
169.  адчуваць	адчуць -->1	<ад(=от)>-//чу(=чу)//-ва%-ць
170.  адчуць	0 -->	<ад(=от)>-//чу%(=чу)//-ць
171.  адчыніцца	адчыніць -->4	<ад(=от)>-//чын(=кон1)//-і%-ц-{ца}
172.  адчыніць	чыніць -->2	<ад(=от)>-//чын(=кон1)//-і%-ць
173.  адчыняцца	адчыняць -->4	<ад(=от)>-//чын(=кон1)//-я%-цца
174.  адчыняць	адчыніць -->1n	<ад(=от)>-//чын(=кон1)//-я%-ць
175.  адшукаць	шукаць -->2	<ад(=от)>-//шук(=шук)//-а%-ць
176.  адысці	ісці -->2	<ад(=от)>-//ыс(=ід)//-ці%
177.  адысціся	адысці -->4	<ад(=от)>-//ыс(=ід)//-ці%-{ся}
178.  адыход	адыходзіць -->7	<ады(=от)>-//хо%д(=ход)//-:@:-/0/
179.  адыходзіць	хадзіць -->2	<ады(=от)>-//хо%дз(=ход)//-і-ць
180.  ажаніцца	ажаніць -->4	<а(=о)>-//жан(=жэн)//-і%-ц-{ца}
181.  ажыць	жыць -->2	<а(=о)>-//жы%(=жы)//-ць
182.  азадак	зад -->3	<а(=о)>-//за%д(=зад)//-ак-/0/
183.  азвацца	зваць -->5	<а(=о)>-//зв(=зв)//-а%-ц-{ца}
184.  азірацца	азіраць -->4	<а(=о)>-//зір(=зор)//-а%-ц-{ца}
185.  азірнуцца	азірнуць -->4	<а(=о)>-//зір(=зор)//-ну%-ц-{ца}
186.  азначаць	знак -->3	<а(=о)>-//знач(=зна)//-а%-ць
187.  айцец	0 -->	//айц(=отц)//-ец-/0/
188.  аказацца	аказаць -->4	//аказ(=каз)//-а%-ц-{ца}
189.  аказацца	аказаць -->4	<а(=о)>-//каз(=каз)//-а%-ц-{ца}
190.  аказвацца	аказваць -->4	//ака%з(=каз)//-ва-ц-{ца}
191.  аказвацца	аказваць -->4	<а(=о)>-//ка%з(=каз)//-ва-ц-{ца}
192.  акенца	акно -->1	//аке%н(=вок)//-ц-/а/
193.  акінуць	кінуць -->2	<а(=о)>-//кі%(=кідн)//-ну-ць
194.  акіян	0 -->	//акія%н(=акіян)//-/0/
195.  акно	0 -->	//акн(=вок)//-/о%/
196.  акоп	акапаць -->7	<а(=о)>-//ко%п(=коп)//-:@:-/0/
197.  акруга	0 -->	//акру%г(=круг)//-/а/
198.  акружыць	круг -->3	<а(=о)>-//круж(=круг)//-ы%-ць
199.  акт	0 -->	//а%кт(=акт)//-/0/
200.  актор	0 -->	//акто%р(=акт)//-/0/
201.  актыўны	актыў -->1	//акты%ў(=актыв)//-н-/ы/
202.  акупацыя	акупіраваць -->1	//акуп(=акуп)//-а%цы-/я/
203.  акурат	0 -->	//акура%т(=акурат)//
204.  акуратны	0 -->	//акура%т(=акурат)//-н-/ы/
205.  алей	0 -->	//але%й(=алей)//-/0/
206.  алешнік	вольха -->1	//але%ш(=вольх)//-нік-/0/
207.  аловак	0 -->	//ало%вак(=аловак)//-/0/
208.  аматар	0 -->	//ама%тар(=аматар)//-/0/
209.  анёл	0 -->	//анё%л(=анёл)//-/0/
210.  ануча	0 -->	//ану%ч(=ануч)//-/а/
211.  апавяданне	апавядаць -->1	//апавяд(=вед1)//-а%-нн-/е/
212.  апавядаць	0 -->	<а(=о)>-<па(=по)>-//вяд(=вед1)//-а%-ць
213.  апамятацца	памяць -->16	<а(=о)>-//па%мят(=памн)//-а-ц-{ца}
214.  апанаваць	панаваць -->2	<а(=о)>-//пан(=пан)//-ав-а%-ць
215.  апарат	0 -->	//апара%т(=апарат)//-/0/
216.  аповесць	апавядаць -->1	<а(=о)>-//по%вес(=вед1)//-ць
217.  апошні	0 -->	//апо%шн(=посл)//-/і/
218.  апранацца	апранаць -->4	<а(=о)>-//пра(=прат)//-н-а%-ц-{ца}
219.  апрануцца	апрануць -->4	<а(=о)>-//пра(=прат)//-ну%-ц-{ца}
220.  апрануць	0 -->	<а(=о)>-//пра(=прат)//-ну%-ць
221.  апраўданне	апраўдаць -->1	<а(=о)>-//праўд(=прав)//-а%-нн-/е/
222.  апраўдаць	праўда -->3	<а(=о)>-//праўд(=прав)//-а%-ць
223.  апраўдвацца	апраўдваць -->4	<а(=о)>-//пра%ўд(=прав)//-ва-ц-{ца}
224.  апускацца	апускаць -->4	<а(=о)>-//пуск(=пуск)//-а%-ц-{ца}
225.  апускаць	апусціць -->1n	<а(=о)>-//пуск(=пуск)//-а%-ць
226.  апусціцца	апусціць -->4	<а(=о)>-//пусц(=пуск)//-і%-ц-{ца}
227.  апусціць	пусціць -->2	<а(=о)>-//пусц(=пуск)//-і%-ць
228.  апынуцца	0 -->	<а(=о)>-//пы(=пін1)//-ну%-ц-{ца}
229.  апярэдзіць	перад -->3	<а(=о)>-//пярэ%дз(=перад)//-і-ць
230.  араць	0 -->	//ар(=ор)//-а%-ць
231.  арганізацыя	арганізаваць -->1	//арганіз(=арганіз)//-а%цы-/я/
232.  армія	0 -->	//а%рмі(=армія)//-/я/
233.  арол	0 -->	//аро%л(=арол)//-/0/
234.  архіў	0 -->	//архі%ў(=архів)//-/0/
235.  арышт	арыштаваць -->7	//а%рышт(=арышт)//-:@:-/0/
236.  арыштаваны	арыштаваць -->1	//арышт(=арышт)//-ав-а%-н-/ы/
237.  арыштаваць	0 -->	//арышт(=арышт)//-ав-а%-ць
238.  асабісты	асоба -->1	//асаб(=асоб)//-і%ст-/ы/
239.  асабліва	асаблівы -->1	//асаб(=асоб)//-лі%в-а
240.  асаблівы	асобы -->1	//асаб(=асоб)//-лі%в-/ы/
241.  асалода	салодкі -->6	<а(=о)>-//сало%д(=салод)//-:@:-/а/
242.  асвятляць	асвятліць -->1n	<а(=о)>-//свят(=свет)//-л-я%-ць
243.  асенні	восень -->1	//асе%н(=восень)//-н-/і/
244.  асесці	сесці -->2	<а(=о)>-//се%с(=сад)//-ці
245.  асіна	0 -->	//асі%н(=асін)//-/а/
246.  асіны	аса -->1	//ас(=ос)//-і%н-/ы/
247.  асмеліцца	смеласць -->16	<а(=о)>-//сме%л(=смел)//-і-ц-{ца}
248.  аснова	0 -->	//асно%в(=снов)//-:@:-/а/
249.  асноўны	0 -->	//асно%ў(=снов)//-н-/ы/
250.  асоба	0 -->	//асо%б(=асоб)//-/а/
251.  асобны	0 -->	//асо%бн(=асоб)//-/ы/
252.  астатні	0 -->	<а(=о)>-//ста%(=стай)//-т-н-/і/
253.  асудзіць	судзіць -->2	<а(=о)>-//судз(=суд)//-і%-ць
254.  асфальт	0 -->	//асфа%льт(=асфальт)//-/0/
255.  асцярожны	0 -->	<а(=о)>-//сцяро%ж(=сцерг)//-н-/ы/
256.  атака	0 -->	//ата%к(=атак)//-/а/
257.  атрад	0 -->	<ат(=от)>-//ра%д(=рад)//-/0/
258.  атрута	атруціць -->7	<а(=о)>-//тру%т(=тр1)//-:@:-/а/
259.  атрымацца	атрымаць -->4	<а(=о)>-//трым(=трым)//-а%-ц-{ца}
260.  атрымаць	трымаць -->2	<а(=о)>-//трым(=трым)//-а%-ць
261.  атрымлівацца	атрымліваць -->4	<а(=о)>-//тры%мл(=трым)//-іва-ц-{ца}
262.  атрымліваць	атрымаць -->1n	<а(=о)>-//тры%мл(=трым)//-іва-ць
263.  аўтар	0 -->	//а%ўтар(=аўтар)//-/0/
264.  афіцыйны	0 -->	//афіцы%й(=афер)//-н-/ы/
265.  афіцэр	0 -->	//афіцэ%р(=афіцэр)//-/0/
266.  ахапіць	хапаць -->3	<а(=о)>-//хап(=хопл)//-і%-ць
267.  ахвота	хацець -->7	//ахво%т(=хот)//-:@:-/а/
268.  ахвотна	ахвотны -->1	//ахво%т(=хот)//-н-а
269.  ахвотны	ахвота -->1	//ахво%т(=хот)//-н-/ы/
270.  ахвяра	0 -->	//ахвя%р(=ахвяр)//-/а/
271.  ахвяраваць	ахвяра -->1	//ахвяр(=ахвяр)//-ав-а%-ць
272.  ахова	ахоўваць -->7	//ахо%в(=хов)//-:@:-/а/
273.  ахоўваць	хаваць -->3	//ахо%ў(=хов)//-ва-ць
274.  ацаніць	цаніць -->2	<а(=о)>-//цан(=цэн)//-і%-ць
275.  ачуняць	0 -->	//ачун(=кон2)//-я%-ць
276.  баба	0 -->	//ба%б(=баб)//-/а/
277.  бабка	баба -->1	//ба%б(=баб)//-к-/а/
278.  бабка	0 -->	//ба%бк(=баб)//-/а/
279.  бабуля	баба -->1	//баб(=баб)//-у%л-/я/
280.  багаты	0 -->	//бага%т(=бог)//-/ы/
281.  багацце	багаты -->1	//бага%цц(=бог)//-/е/
282.  багна	0 -->	//ба%гн(=багн)//-/а/
283.  бадаць	0 -->	//бад(=бод)//-а%-ць
284.  бадзёры	0 -->	//бадзё%р(=бадзёр)//-/ы/
285.  бадзяцца	0 -->	//бадз(=бадз)//-я%-ц-{ца}
286.  баец	біць -->1	//ба(=бі)//-е%ц-/0/
287.  база	0 -->	//ба%з(=база)//-/а/
288.  байка	баяць -->1	//ба%й(=бай1)//-к-/а/
289.  бак	0 -->	//ба%к(=бак)//-/0/
290.  балець	боль -->1	//бал(=боль)//-е%-ць
291.  балкон	0 -->	//балко%н(=балкон)//-/0/
292.  балота	0 -->	//бало%т(=бел)//-/а/
293.  балотны	балота -->1	//бало%т(=бел)//-н-/ы/
294.  баль	0 -->	//баль(=бал)//-/0/
295.  бальніца	бальны -->1	//бальні%ц(=боль)//-/а/
296.  бальшавік	0 -->	//бальшав(=больш)//-і%к-/0/
297.  бальшавіцкі	бальшавік -->1	//бальшав(=больш)//-і%[ц-к]-/і/
298.  балючы	балець -->1	//бал(=боль)//-ю%ч-/ы/
299.  бандыт	0 -->	//банд(=банд)//-ы%т-/0/
300.  бар	0 -->	//бар(=бар)//-/0/
301.  барада	0 -->	//барад(=барод)//-/а%/
302.  барадаты	барада -->1	//барад(=барод)//-а%т-/ы/
303.  барак	0 -->	//бара%к(=барак)//-/0/
304.  баран	0 -->	//бара%н(=баран1)//-/0/
305.  бараніцца	бараніць -->4	//баран(=бор)//-і%-ц-{ца}
306.  бараніць	0 -->	//баран(=бор)//-і%-ць
307.  барацьба	бароцца -->1	//бар(=бор)//-а-ць-б-/а%/
308.  бацька	0 -->	//ба%цьк(=бацьк)//-/а/
309.  бацькаў	бацька -->1	//ба%цьк(=бацьк)//-аў
310.  бацькаўшчына	бацька -->1	//ба%цьк(=бацьк)//-аў-шчын-/а/
311.  бацькоўскі	бацька -->1	//бацьк(=бацьк)//-о%ў-ск-/і/
312.  бачны	бачыць -->1	//ба%ч(=бач)//-н-/ы/
313.  бачыцца	бачыць -->4	//ба%ч(=бач)//-ы-ц-{ца}
314.  бачыць	0 -->	//ба%ч(=бач)//-ы-ць
315.  баявы	бой -->1	//ба(=бі)//-яв-/ы%/
316.  баярскі	баярын -->1	//бая%р(=баяр)//-ск-/і/
317.  баярын	0 -->	//бая%р(=баяр)//-ын-/0/
318.  баяцца	0 -->	//ба(=бой)//-я%-ц-{ца}
319.  бег	бегаць -->7	//бег(=бег)//-:@:-/0/
320.  бегаць	бегчы -->1	//бе%г(=бег)//-а-ць
321.  беглы	бегаць -->1	//бе%г(=бег)//-л-/ы/
322.  бегчы	0 -->	//бе%г(=бег)//-чы
323.  бедаваць	бяда -->1	//бед(=бед)//-ав-а%-ць
324.  бедны	0 -->	//бе%дн(=бед)//-/ы/
325.  бездань	бяздонны -->7	<бе%з(=без)>-//дань(=дн)//-:@:-/0/
326.  бездапаможны	дапамога -->3	<без(=без)>-<да(=до)>-//памо%ж(=мог)//-н-/ы/
327.  безнадзейны	надзея -->3	<без(=без)>-//надзе%й(=нада)//-н-/ы/
328.  безумоўны	умова -->3	<без(=без)>-//умо%ў(=мов)//-н-/ы/
329.  беларус	0 -->	//белару%с(=//бел//-|а|-//рус//)//-/0/
330.  беларуска	беларус -->1	//белару%с(=//бел//-|а|-//рус//)//-к-/а/
331.  беларускі	беларус -->1	//белару%[с(=//бел//-|а|-//рус//)//-к]-/і/
332.  белы	0 -->	//бе%л(=бел)//-/ы/
333.  бераг	0 -->	//бе%раг(=бераг)//-/0/
334.  берагчы	0 -->	//бераг(=берэгт)//-чы%
335.  бервяно	0 -->	//бервян(=бервян)//-/о%/
336.  бесклапотны	клопат -->3	<бес(=без)>-//клапо%т(=клопат)//-н-/ы/
